Season,Matches,Wins,Draws,Losses,Goals For,Goals Against,Avg Goals For,Avg Goals Against,Avg Shots For,Avg Shots Against,Avg Yellows,Avg Reds,Avg Fouls,Win Pct
2000-2001,38,17,12,9,80,57,2.1052631578947367,1.5,,,,,,0.4473684210526316
2001-2002,38,18,10,10,65,37,1.7105263157894737,0.9736842105263158,,,,,,0.47368421052631576
2002-2003,38,15,11,12,63,47,1.6578947368421053,1.236842105263158,,,,,,0.39473684210526316
2003-2004,38,21,9,8,63,39,1.6578947368421053,1.0263157894736843,,,,,,0.5526315789473685
2004-2005,27,18,8,1,51,16,1.8888888888888888,0.5925925925925926,,,,,,0.6666666666666666
2005-2006,38,25,7,6,80,35,2.1052631578947367,0.9210526315789473,17.44736842105263,8.368421052631579,1.868421052631579,0.15789473684210525,16.81578947368421,0.6578947368421053
2007-2008,38,19,10,9,76,43,2.0,1.131578947368421,14.81578947368421,11.18421052631579,1.9736842105263157,0.13157894736842105,14.68421052631579,0.5
2008-2009,38,27,6,5,105,35,2.763157894736842,0.9210526315789473,18.605263157894736,6.973684210526316,1.868421052631579,0.15789473684210525,12.842105263157896,0.7105263157894737
2009-2010,38,31,6,1,98,24,2.5789473684210527,0.631578947368421,15.631578947368421,8.552631578947368,1.9210526315789473,0.13157894736842105,13.5,0.8157894736842105
2010-2011,38,30,6,2,95,21,2.5,0.5526315789473685,15.552631578947368,7.394736842105263,1.868421052631579,0.05263157894736842,10.5,0.7894736842105263
2011-2012,38,28,7,3,114,29,3.0,0.7631578947368421,16.394736842105264,7.2631578947368425,1.868421052631579,0.10526315789473684,10.710526315789474,0.7368421052631579
2012-2013,38,32,4,2,115,40,3.026315789473684,1.0526315789473684,13.789473684210526,8.894736842105264,1.4473684210526316,0.07894736842105263,10.552631578947368,0.8421052631578947
2013-2014,38,27,6,5,100,33,2.6315789473684212,0.868421052631579,16.92105263157895,8.81578947368421,1.894736842105263,0.02631578947368421,11.210526315789474,0.7105263157894737
2014-2015,38,30,4,4,110,21,2.8947368421052633,0.5526315789473685,16.473684210526315,8.026315789473685,1.736842105263158,0.07894736842105263,9.710526315789474,0.7894736842105263
2015-2016,38,29,4,5,112,29,2.9473684210526314,0.7631578947368421,15.894736842105264,9.605263157894736,1.736842105263158,0.02631578947368421,10.052631578947368,0.7631578947368421
2016-2017,38,28,6,4,116,37,3.0526315789473686,0.9736842105263158,17.05263157894737,9.236842105263158,1.9210526315789473,0.02631578947368421,11.078947368421053,0.7368421052631579
2017-2018,38,28,9,1,99,29,2.6052631578947367,0.7631578947368421,15.263157894736842,11.631578947368421,1.763157894736842,0.05263157894736842,10.078947368421053,0.7368421052631579
2018-2019,38,26,9,3,90,36,2.3684210526315788,0.9473684210526315,14.763157894736842,10.763157894736842,2.026315789473684,0.05263157894736842,10.710526315789474,0.6842105263157895
2019-2020,38,25,7,6,86,38,2.263157894736842,1.0,13.026315789473685,9.789473684210526,2.4210526315789473,0.15789473684210525,10.947368421052632,0.6578947368421053
2020-2021,38,24,7,7,85,38,2.236842105263158,1.0,15.289473684210526,8.710526315789474,1.894736842105263,0.05263157894736842,9.394736842105264,0.631578947368421
2021-2022,38,21,10,7,68,38,1.7894736842105263,1.0,13.631578947368421,9.289473684210526,2.5526315789473686,0.13157894736842105,13.157894736842104,0.5526315789473685
2022-2023,38,28,4,6,70,20,1.8421052631578947,0.5263157894736842,15.105263157894736,8.736842105263158,2.1315789473684212,0.15789473684210525,11.394736842105264,0.7368421052631579
2023-2024,38,26,7,5,79,44,2.0789473684210527,1.1578947368421053,15.605263157894736,10.868421052631579,2.289473684210526,0.05263157894736842,10.81578947368421,0.6842105263157895
2024-2025,38,28,4,6,102,39,2.6842105263157894,1.0263157894736843,17.842105263157894,7.815789473684211,1.6842105263157894,0.07894736842105263,9.68421052631579,0.7368421052631579
